"";"car_type";"original_value";"Freq"
"1";"тент";"любой закрытый";1112
"2";"тент";"авто";364
"3";"тент";"Закрытый";66
"4";"тент";"закрытый";65
"5";"тент";"любой открытый";12
"6";"тент";"закрытый, отдельная";9
"7";"необработанные";"авиа";91
"8";"необработанные";"цельнометаллический";38
"9";"необработанные";"Реф, термос";8
"10";"необработанные";"реф,термос";6
"11";"необработанные";"Реф+10";6
"12";"необработанные";"тент";4
"13";"необработанные";"отдельная, закрытая, задняя";3
"14";"необработанные";"реф +10 +15";3
"15";"необработанные";"Реф тер";3
"16";"необработанные";"светотеника";3
"17";"необработанные";"Термос";3
"18";"необработанные";"Бортовой";2
"19";"необработанные";"верняя, боковая растентовка";2
"20";"необработанные";"еврофура закрытая.верхняя погрузка.коники";2
"21";"необработанные";"Реф";2
"22";"необработанные";"4 м по полу";1
"23";"необработанные";"40-футовый контейнер, отдельная";1
"24";"необработанные";"40-футовый контейнер, под пломбу";1
"25";"необработанные";"бок";1
"26";"необработанные";"в стандартной евро-фуре 3 м по полу, верхняя, на хвост машины";1
"27";"необработанные";"верх. борт.";1
"28";"необработанные";"ефрофура";1
"29";"необработанные";"ЗАКРЫТЫЙ";1
"30";"необработанные";"Звкрытый с ДОПОГ";1
"31";"необработанные";"отдельная, закрытая";1
"32";"необработанные";"по полу не менее 6,2м,  боковая";1
"33";"необработанные";"Реф (изотерма), отдельный.";1
"34";"необработанные";"Реф +10";1
"35";"необработанные";"Реф, изот.";1
"36";"необработанные";"Тент с боковой загрузкой";1
"37";"необработанные";"тент с боковой загрузкой выгрузкой";1
"38";"необработанные";"Тент с боковой и верхней заг/выгр";1
"39";"необработанные";"Тент с боковой,";1
"40";"необработанные";"тент, шаланда";1
"41";"необработанные";"тент,с верхней растентовкой";1
"42";"необработанные";"тентованная, с задней и боковой загрузкой";1
"43";"необработанные";"Терм";1
"44";"необработанные";"термос";1
"45";"необработанные";"фура 13,6, с задней и боковой";1
"46";"необработанные";"фура, тент с боковой";1
"47";"необработанные";"фура, тент, с верхней";1
"48";"необработанные";"авиа-авто";0
"49";"необработанные";"авто";0
"50";"необработанные";"авто-ж/д-авто";0
"51";"необработанные";"авто-жд-авто";0
"52";"необработанные";"ж/д+авто";0
"53";"необработанные";"закрытый";0
"54";"необработанные";"Закрытый";0
"55";"необработанные";"закрытый под пломбу";0
"56";"необработанные";"закрытый с боковой";0
"57";"необработанные";"Закрытый с верхней загрузкой";0
"58";"необработанные";"Закрытый,";0
"59";"необработанные";"закрытый, (по полу не менее 5,6м), отдельная, под пломбу";0
"60";"необработанные";"закрытый, гидроборт";0
"61";"необработанные";"Закрытый, отд. машина, д. 4 м";0
"62";"необработанные";"закрытый, отдельная";0
"63";"необработанные";"Закрытый, отдельная";0
"64";"необработанные";"закрытый, отдельная, гидроборт";0
"65";"необработанные";"Закрытый, отдельная, не менее 4 метров по полу";0
"66";"необработанные";"закрытый, отдельная, под пломбу";0
"67";"необработанные";"Закрытый, реф";0
"68";"необработанные";"закрытый, с габаритами не менее 4,5*2,05*1,8, отдельная";0
"69";"необработанные";"Закрытый,отдельный";0
"70";"необработанные";"любой закрытый";0
"71";"необработанные";"любой закрытый (отдельная)";0
"72";"необработанные";"любой закрытый с задней и боковой";0
"73";"необработанные";"любой закрытый,";0
"74";"необработанные";"любой закрытый, 2 метра по полу";0
"75";"необработанные";"любой закрытый, 3м по полу";0
"76";"необработанные";"любой закрытый, 4 метра по полу";0
"77";"необработанные";"любой закрытый, 6 метров по полу";0
"78";"необработанные";"любой закрытый, желателен жесткий борт";0
"79";"необработанные";"любой закрытый, задняя";0
"80";"необработанные";"любой закрытый, задняя и боковая, 2 водителя";0
"81";"необработанные";"любой закрытый, изотерм";0
"82";"необработанные";"любой закрытый, не менее 4 метров по полу, отдельная, под пломбу";0
"83";"необработанные";"любой закрытый, не менее 6 метров по плоу";0
"84";"необработанные";"любой закрытый, не менее 7 метров";0
"85";"необработанные";"любой закрытый, не менее чем на 11 паллет";0
"86";"необработанные";"любой закрытый, не фура";0
"87";"необработанные";"любой закрытый, отдельная";0
"88";"необработанные";"любой закрытый, отдельная (груз 1,6*1,6*1,6 - 2 шт)";0
"89";"необработанные";"любой закрытый, отдельная под пломбу.";0
"90";"необработанные";"любой закрытый, отдельная,";0
"91";"необработанные";"любой закрытый, отдельная, боковая";0
"92";"необработанные";"любой закрытый, отдельная, не менее 3 метров по полу";0
"93";"необработанные";"любой закрытый, отдельная, не менее 4 метров по полу";0
"94";"необработанные";"любой закрытый, отдельная, не менее 6 метров по полу";0
"95";"необработанные";"любой закрытый, отдельная, под пломбу";0
"96";"необработанные";"любой закрытый, отдельная. Боковая разгрузка.";0
"97";"необработанные";"любой закрытый, по полу 2,2 метров";0
"98";"необработанные";"любой закрытый, по полу 4 метров, отдельная";0
"99";"необработанные";"любой закрытый, по полу не менее 3,5 метров, верхняя";0
"100";"необработанные";"любой закрытый, по полу не менее 4-х метров, под пломбу";0
"101";"необработанные";"любой закрытый, по полу не менее 4м, отдельная";0
"102";"необработанные";"любой закрытый, под паллеты высотой 1,0м";0
"103";"необработанные";"любой закрытый, под паллеты высотой 1,7м";0
"104";"необработанные";"любой закрытый, под паллеты высотой 2,1м";0
"105";"необработанные";"любой закрытый, под пломбу";0
"106";"необработанные";"любой закрытый,боковая.";0
"107";"необработанные";"любой закрытый,отдельная";0
"108";"необработанные";"любой закрытый,отдельный";0
"109";"необработанные";"любой закрытый,отдельный,длина не менее 4,2 метра";0
"110";"необработанные";"любой закрытый,отдельный,изотерма.";0
"111";"необработанные";"любой закрытый,отдельный.";0
"112";"необработанные";"любой закрытый,отдельный.изотерма.";0
"113";"необработанные";"любой закрытый!";0
"114";"необработанные";"любой закрытый.";0
"115";"необработанные";"Любой закрытый.";0
"116";"необработанные";"любой открытый";0
"117";"необработанные";"любой открытый или растентовка";0
"118";"необработанные";"любой,закрытый.";0
"119";"необработанные";"отдельная закрытый";0
"120";"необработанные";"реф,термос,закрытый,отдельный.";0
